"Data item name","Data item Description","Composite data item (1)","Composite data item - level (2)","Data Item Type","Data type","Cardinality","Default value","Values	Validation","Associated score","Allow multiple","Help text","Read only","Include item","Data item (SNOMED)","Is the data constraining?","SNOMED codes or subset ID","Is post-coordination allowed?","Care Record Element","Specific conditional behaviour","National data sets","Calculation","Annotation","Archetype Id","Section ID"
"Rate","The rate, measured in beats per minute.","No","","Primary","QUANTITY","[0..1]","","Property = FREQUENCY","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.pulse.v1/data[at0002]/events[at0003]/data[at0001]/items[at0004]","89"
"state","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.pulse.v1/data[at0002]/events[at0003]/state[at0012]","89"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.pulse.v1/protocol[at0010]","89"
"Any event","Any event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]","90"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]","90"
"Best eye response (E)","Best eye response to stimulus.","No","","Primary","ORDINAL","[0..1]","","[1] No response| [2] Eyes open in response to pain| [3] Eyes open in response to speech| [4] Spontaneous eye opening","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0009]","90"
"Not able to test eye response","Not possible to test eye responses - for example in the case of associated severe facial/eye swelling or damage.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0034]","90"
"Reason for inability to test eye response","Reason for inability to test eye response.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0038]","90"
"Best motor response (M)","Best motor response to stimulus.","No","","Primary","ORDINAL","[0..1]","","[1] No response| [2] Extensor response| [3] Flexor response| [4] Withdrawal response| [5] Localises pain| [6] Obeys commands","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0008]","90"
"Not able to test motor response","Not possible to test motor responses - for example in the case of associated limb paralysis.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0036]","90"
"Reason for inability to test motor response","Reason for inability to test motor response.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0040]","90"
"Best verbal response (V)","Best verbal response to stimulus.","No","","Primary","ORDINAL","[0..1]","","[1] No response| [2] Incomprehensible sounds| [3] Inappropriate speech| [4] Confused conversation| [5] Oriented","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0007]","90"
"Not able to test verbal response","Not possible to test verbal responses - for example in the case of associated intubation.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0035]","90"
"Reason for inability to test verbal response","Reason for inability to test verbal response.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0039]","90"
"Total score","The sum of the 3 ordinal scores for each component parameter.","No","","Primary","COUNT","[0..1]",""," >= 3;  <= 15","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0026]","90"
"EMV profile","Eye Motor Verbal profile expressing each component individually. This can be derived as a combination of the preceding elements.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0030]","90"
"Comment","Comment about measurement of the Scale, especially if it was not possible to assess a response.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0037]","90"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","91"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","91"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]","93"
"Problem/Diagnosis","Identification of the index problem, issue or diagnosis.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0002]","93"
"Date of Onset","The date / time when the problem was first identified by the individual.","No","","Primary","DATE_TIME","[0..1]","","Allow all; yyyy-mm-ddthh:mm:ss","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0003]","93"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]","93"
"Temporal context","Temporal context indicator aligned with SNOMEDCT.","No","","Primary","CODED_TEXT","[0..1]","","Current","","N","","N","","n/a","Yes","Current (local::at0062)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0060]","94"
"Episodicity","Episodicity is used within a primary care context to distinguish between ongoing and new episodes of a problem or diagnosis, primarily for public health or quality assessment purposes.","No","","Primary","CODED_TEXT","[0..1]","","First ever; New; Ongoing","","N","","N","","n/a","Yes","First ever (local::at0033)| New (local::at0034)| Ongoing (local::at0035)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0001]","94"
"Episodic care status","In episodic care contexts (commonly  secondary care) it is common to categorise/ organise problems according to their relationship to the principal problem or diagnosis being addressed during that episode of care. These categories may also be used for clinical coding, reporting and billing purposes.","No","","Primary","CODED_TEXT","[0..1]","","Primary diagnosis","","N","","N","","n/a","Yes","Primary diagnosis (local::at0064)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0063]","94"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]","95"
"Absence Statement","Positive statement that no information is available.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]/items[at0002]","95"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]","95"
"Date Verified","The date at which the information was deemed to be absent.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]/items[at0004]","95"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]","96"
"Exclusion Statement","A statement about exclusion of use of known problems or diagnoses in the health record.","No","","Primary","TEXT","[1..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]/items[at0002.1]","96"
"Problem/Diagnosis","Identification of the specific problems/diagnoses to which the Exclusion Statement applies.","No","","Primary","MULTIPLE","[0..*]","","| DV_CODED_TEXTtruetruefalsefalse11defining_codetruetruefalsefalse11CODE_PHRASEtruetruefalsefalse11ac0.1| Free or coded text","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]/items[at0003.1]","96"
"Comment","Additional narrative about the Exclusion not captured in other fields.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]/items[at0007]","96"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/protocol[at0006]","96"
"Date Last Updated","The date at which the exclusion was last clinically asserted, affirmed or confirmed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/protocol[at0006]/items[at0004]","96"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]","98"
"Problem/Diagnosis","Identification of the index problem, issue or diagnosis.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0002]","98"
"Date of Onset","The date / time when the problem was first identified by the individual.","No","","Primary","DATE_TIME","[0..1]","","Allow all; yyyy-mm-ddthh:mm:ss","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0003]","98"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]","98"
"Supporting clinical evidence","Useful information on the internet about this condition.","No","","Primary","EHR_URI","[0..*]","","DV_EHR_URItruetruefalsefalse11","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]/items[at0035]","98"
"Temporal context","Temporal context indicator aligned with SNOMEDCT.","No","","Primary","CODED_TEXT","[0..1]","","Current","","N","","N","","n/a","Yes","Current (local::at0062)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0060]","99"
"Episodicity","Episodicity is used within a primary care context to distinguish between ongoing and new episodes of a problem or diagnosis, primarily for public health or quality assessment purposes.","No","","Primary","CODED_TEXT","[0..1]","","First ever; New; Ongoing","","N","","N","","n/a","Yes","First ever (local::at0033)| New (local::at0034)| Ongoing (local::at0035)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0001]","99"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]","100"
"Absence Statement","Positive statement that no information is available.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]/items[at0002]","100"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]","100"
"Date Verified","The date at which the information was deemed to be absent.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]/items[at0004]","100"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]","101"
"Exclusion Statement","A statement about exclusion of use of known problems or diagnoses in the health record.","No","","Primary","TEXT","[1..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]/items[at0002.1]","101"
"Problem/Diagnosis","Identification of the specific problems/diagnoses to which the Exclusion Statement applies.","No","","Primary","MULTIPLE","[0..*]","","| DV_CODED_TEXTtruetruefalsefalse11defining_codetruetruefalsefalse11CODE_PHRASEtruetruefalsefalse11ac0.1| Free or coded text","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]/items[at0003.1]","101"
"Comment","Additional narrative about the Exclusion not captured in other fields.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/data[at0001]/items[at0007]","101"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/protocol[at0006]","101"
"Date Last Updated","The date at which the exclusion was last clinically asserted, affirmed or confirmed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-problem_diagnosis.v1/protocol[at0006]/items[at0004]","101"
"Point-in-time","The result at a single point in time.","Yes: Timing","","Composite","DateTime","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.bristol_stool_scale.v1/data[at0001]/events[at0002]","103"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.bristol_stool_scale.v1/data[at0001]/events[at0002]/data[at0003]","103"
"Bristol Stool scale","A score to assess the characteristics of faeces after defaecation.","No","","Primary","ORDINAL","[0..1]","","[1] Separate hard lumps, like nuts (hard to pass)| [2] Sausage-shaped, but lumpy| [3] Like a sausage but with cracks on its surface| [4] Like a sausage or snake, smooth and soft| [5] Soft blobs with clear cut edges (passed easily)| [6] Fluffy pieces with ragged edges, a mushy stool| [7] Watery, no solid pieces. Entirely liquid","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.bristol_stool_scale.v1/data[at0001]/events[at0002]/data[at0003]/items[at0005]","103"
"Comment","Any additional comment about the scale result.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.bristol_stool_scale.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","103"
"state","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.bristol_stool_scale.v1/data[at0001]/events[at0002]/state[at0013]","103"
"Confounding factors","Factors of patient state which may effect interpretation of the results.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.bristol_stool_scale.v1/data[at0001]/events[at0002]/state[at0013]/items[at0014]","103"
"Any event","Any event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]","104"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]","104"
"Best eye response (E)","Best eye response to stimulus.","No","","Primary","ORDINAL","[0..1]","","[1] No response| [2] Eyes open in response to pain| [3] Eyes open in response to speech| [4] Spontaneous eye opening","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0009]","104"
"Not able to test eye response","Not possible to test eye responses - for example in the case of associated severe facial/eye swelling or damage.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0034]","104"
"Reason for inability to test eye response","Reason for inability to test eye response.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0038]","104"
"Best motor response (M)","Best motor response to stimulus.","No","","Primary","ORDINAL","[0..1]","","[1] No response| [2] Extensor response| [3] Flexor response| [4] Withdrawal response| [5] Localises pain| [6] Obeys commands","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0008]","104"
"Not able to test motor response","Not possible to test motor responses - for example in the case of associated limb paralysis.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0036]","104"
"Reason for inability to test motor response","Reason for inability to test motor response.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0040]","104"
"Best verbal response (V)","Best verbal response to stimulus.","No","","Primary","ORDINAL","[0..1]","","[1] No response| [2] Incomprehensible sounds| [3] Inappropriate speech| [4] Confused conversation| [5] Oriented","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0007]","104"
"Not able to test verbal response","Not possible to test verbal responses - for example in the case of associated intubation.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0035]","104"
"Reason for inability to test verbal response","Reason for inability to test verbal response.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0039]","104"
"Total score","The sum of the 3 ordinal scores for each component parameter.","No","","Primary","COUNT","[0..1]",""," >= 3;  <= 15","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0026]","104"
"EMV profile","Eye Motor Verbal profile expressing each component individually. This can be derived as a combination of the preceding elements.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0030]","104"
"Comment","Comment about measurement of the Scale, especially if it was not possible to assess a response.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.glasgow_coma.v1/data[at0001]/events[at0002]/data[at0003]/items[at0037]","104"
"Any event","Any event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]","105"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]","105"
"Sex","Risk conferred by the sex of the subject.","No","","Primary","ORDINAL","[0..1]","","[1] Male| [2] Female","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0008]","105"
"Age group","Risk conferred by the age range of the subject.","No","","Primary","ORDINAL","[0..1]","","[0] Less than 14 years| [1] 14-49| [2] 50-64| [3] 65-74| [4] 75-80| [5] 80+","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0009]","105"
"Build/weight for height","Risk conferred by the subject's build, based on a BMI calculation.","No","","Primary","ORDINAL","[0..1]","","[0] Average| [1] Above average| [2] Obese| [3] Below average","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","105"
"Continence","Risk conferred by the subject's degree of continence.","No","","Primary","ORDINAL","[0..1]","","[0] Complete / catheterised| [1] Urinary incontinence| [2] Faecal incontinence| [3] Urinary and faecal incontinence","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0005]","105"
"Mobility","Risk conferred by the mobility level of the subject.","No","","Primary","ORDINAL","[0..1]","","[0] Fully mobile| [1] Restless/ fidgety| [2] Apathetic| [3] Restricted| [4] Bedbound| [5] Chairbound","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0007]","105"
"Nutritional risk","An estimate of nutritional risk based on the MST nutritional score but can make use of another compatible nutritional score.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0129]","105"
"Weight loss","Risk conferred by recent weight loss.","No","","Primary","ORDINAL","[0..1]","","[0] No recent weight loss| [1] 0.5-5kg| [2] 5-10kg (or Amount unsure)| [3] 10-15kg| [4] Over 15kg","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0129]/items[at0054]","105"
"Appetite","Risk conferred by the subject's appetite and eating habit.","No","","Primary","ORDINAL","[0..1]","","[0] Average| [1] Poor","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0129]/items[at0044]","105"
"Nutritional score","The nutritional score total, derived from Appetite and Weight loss scores or recorded directly from another compatible nutritional scoring system.","No","","Primary","COUNT","[0..1]",""," >= 0;  <= 5","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0129]/items[at0130]","105"
"Skin type visual risk areas","Category of risks assessed by skin inspection.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]","105"
"Healthy","The skin appears healthy.","No","","Primary","ORDINAL","[0..1]","","[0] Healthy","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]/items[at0116]","105"
"Tissue-paper","The skin has a tissue-paper quality.","No","","Primary","ORDINAL","[0..1]","","[1] Tissue-paper","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]/items[at0117]","105"
"Dry","The skin is dry.","No","","Primary","ORDINAL","[0..1]","","[1] Dry","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]/items[at0118]","105"
"Oedematous","The skin is oedematous.","No","","Primary","ORDINAL","[0..1]","","[1] Oedematous","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]/items[at0119]","105"
"Clammy, pyrexia","The aptient appears clammy or pyrexic.","No","","Primary","ORDINAL","[0..1]","","[1] Clammy, pyrexia","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]/items[at0120]","105"
"Discoloured - Stage 1","The skin is dicoloured - Pressure sore - Grade 1.","No","","Primary","ORDINAL","[0..1]","","[2] Discoloured - Stage 1","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]/items[at0121]","105"
"Pressure ulcer - Stage 2-4","The skin has a frank pressure sore - Stage 2-4.","No","","Primary","ORDINAL","[0..1]","","[2] Pressure ulcer - Stage 2-4","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0066]/items[at0122]","105"
"Tissue malnutrition","Category of risks conferred by tissue malnutrition.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0070]","105"
"Terminal cachexia","The subject is terminally-ill and shows significant weight-loss.","No","","Primary","ORDINAL","[0..1]","","[8] Terminal cachexia","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0070]/items[at0123]","105"
"Single organ failure","The patent has single organ/system failure e.g. respiratory, cardiac, liver, renal.","No","","Primary","ORDINAL","[0..1]","","[5] Single organ failure","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0070]/items[at0124]","105"
"Multiple organ failure","The subject has multiple organ/system failure.","No","","Primary","ORDINAL","[0..1]","","[8] Multiple organ failure","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0070]/items[at0125]","105"
"Peripheral vascular disease","The subject has peripheral vascular disease.","No","","Primary","ORDINAL","[0..1]","","[5] Peripheral vascular disease","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0070]/items[at0126]","105"
"Anaemia (Hb < 8 g/dl)","The subject is significantly anaemic. Hb less than 8 mg/dl.","No","","Primary","ORDINAL","[0..1]","","[2] Anaemia (Hb < 8 g/dl)","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0070]/items[at0127]","105"
"Smoking","The subject is a smoker.","No","","Primary","ORDINAL","[0..1]","","[1] Smoking","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0070]/items[at0128]","105"
"Neurological deficit","Risk conferred by neurological deficit. Each identified risk can be scored between 4-6 but a maximum of 6 only can be given for the whole neurological deficit category.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0073]","105"
